,id,host_id,comuna,latitude,longitude,bathrooms,bedrooms,beds,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,total_price,tipo,ingresos_25p,ingresos_50p,ingresos_75p,ingresos_100p
1548,10781417,55704720,Ñuñoa,-33.45012,-70.59281999999999,1,1,2.0,13405.0,0.0,0,0,0,0,7,86.0,13405.0,1D+1B,134050.0,201075.0,268100.0,402150.0
1549,10806698,51160027,Santiago,-33.44352,-70.64404,1,1,1.0,31502.0,0.0,28,58,88,363,1,100.0,31502.0,1D+1B,315020.0,472530.0,630040.0,945060.0
1552,10811711,264242,Santiago,-33.44071,-70.64124,1,1,2.0,20107.0,25000.0,17,47,77,167,14,89.0,45107.0,1D+1B,226070.0,326605.0,427140.0,628210.0
1553,10812628,8691930,Las Condes,-33.40572,-70.57765,2,3,3.0,73727.0,33512.0,0,22,52,327,21,99.0,107239.0,3D+2B,770782.0,1139417.0,1508052.0,2245322.0
1556,10825190,49215195,Santiago,-33.44679,-70.63859000000001,1,1,1.0,36864.0,0.0,18,33,63,66,41,91.0,36864.0,1D+1B,368640.0,552960.0,737280.0,1105920.0
1558,10830027,56078459,Las Condes,-33.41028,-70.57129,2,2,2.0,113942.0,23459.0,0,0,0,0,6,96.0,137401.0,2D+2B,1162879.0,1732589.0,2302299.0,3441719.0
1559,10830895,33365414,Las Condes,-33.41975,-70.59813,2,2,4.0,60322.0,0.0,27,57,87,362,4,80.0,60322.0,2D+2B,603220.0,904830.0,1206440.0,1809660.0
1562,10846883,49215195,Santiago,-33.44547,-70.64025,1,1,1.0,30161.0,0.0,14,15,36,38,116,93.0,30161.0,1D+1B,301610.0,452415.0,603220.0,904830.0
1564,10853595,49215195,Santiago,-33.44537,-70.64059,1,1,1.0,36864.0,0.0,21,51,81,83,48,86.0,36864.0,1D+1B,368640.0,552960.0,737280.0,1105920.0
1565,10855003,56225944,Santiago,-33.4368,-70.64405,1,1,3.0,34853.0,0.0,30,60,90,365,1,80.0,34853.0,1D+1B,348530.0,522795.0,697060.0,1045590.0
1566,10862797,46676444,Santiago,-33.45035,-70.64805,1,2,3.0,60322.0,20107.0,9,9,9,9,14,90.0,80429.0,2D+1B,623327.0,924937.0,1226547.0,1829767.0
1567,10873491,38362946,Santiago,-33.44695,-70.63651,1,1,1.0,24129.0,0.0,5,34,64,334,242,89.0,24129.0,1D+1B,241290.0,361935.0,482580.0,723870.0
1568,10882221,38362946,Santiago,-33.44835,-70.63454,1,1,1.0,30161.0,0.0,27,57,87,355,122,92.0,30161.0,1D+1B,301610.0,452415.0,603220.0,904830.0
1569,10883360,6690216,Santiago,-33.43937,-70.64016,1,2,4.0,37534.0,20107.0,16,46,76,76,74,94.0,57641.0,2D+1B,395447.0,583117.0,770787.0,1146127.0
1572,10903812,31605180,Santiago,-33.45324,-70.65709,1,1,2.0,40215.0,30000.0,30,60,90,90,3,93.0,70215.0,1D+1B,432150.0,633225.0,834300.0,1236450.0
1573,10906038,55271062,Las Condes,-33.41509,-70.60056999999999,1,1,1.0,41555.0,23000.0,0,0,0,0,23,92.0,64555.0,1D+1B,438550.0,646325.0,854100.0,1269650.0
1574,10910109,36669609,Santiago,-33.44248,-70.64375,1,1,1.0,26810.0,0.0,27,57,87,362,5,80.0,26810.0,1D+1B,268100.0,402150.0,536200.0,804300.0
1575,10916001,38362946,Santiago,-33.44691,-70.63458,1,1,1.0,22788.0,0.0,7,33,63,331,230,92.0,22788.0,1D+1B,227880.0,341820.0,455760.0,683640.0
1577,10936636,56703015,Santiago,-33.44874,-70.65583000000001,1,1,2.0,33512.0,16756.0,29,59,89,364,3,100.0,50268.0,1D+1B,351876.0,519436.0,686996.0,1022116.0
1578,10946404,11844390,Santiago,-33.43647,-70.64721,1,1,1.0,46247.0,0.0,30,60,90,365,1,80.0,46247.0,1D+1B,462470.0,693705.0,924940.0,1387410.0
1579,10947464,56772080,Santiago,-33.45012,-70.64276,1,2,4.0,20107.0,0.0,7,37,67,67,19,98.0,20107.0,2D+1B,201070.0,301605.0,402140.0,603210.0
1580,10956419,3314503,Ñuñoa,-33.45667,-70.61523000000001,2,3,5.0,42226.0,25000.0,30,60,90,90,29,99.0,67226.0,3D+2B,447260.0,658390.0,869520.0,1291780.0
1582,10967414,56893226,Las Condes,-33.41273,-70.59868,1,2,3.0,60322.0,25000.0,0,0,12,287,3,93.0,85322.0,2D+1B,628220.0,929830.0,1231440.0,1834660.0
1583,10979686,56966260,Santiago,-33.44774,-70.65535,2,3,3.0,100537.0,0.0,26,50,80,355,28,99.0,100537.0,3D+2B,1005370.0,1508055.0,2010740.0,3016110.0
1584,10984258,56990685,Providencia,-33.42572,-70.61551999999999,1,1,1.0,32172.0,0.0,4,16,46,321,89,93.0,32172.0,1D+1B,321720.0,482580.0,643440.0,965160.0
1587,11003052,14367495,Santiago,-33.43466,-70.65668000000001,2,2,7.0,68365.0,16756.0,29,59,89,364,5,76.0,85121.0,2D+2B,700406.0,1042231.0,1384056.0,2067706.0
1588,11016980,53637647,Providencia,-33.42628,-70.6173,2,2,3.0,40215.0,20000.0,8,38,68,68,9,98.0,60215.0,2D+2B,422150.0,623225.0,824300.0,1226450.0
1589,11017946,39185761,Recoleta,-33.43233,-70.64086,1,1,1.0,24799.0,18097.0,17,47,73,348,110,97.0,42896.0,1D+1B,266087.0,390082.0,514077.0,762067.0
1592,11038247,46397593,Las Condes,-33.41527,-70.58484,2,2,2.0,60322.0,25469.0,30,60,90,90,4,100.0,85791.0,2D+2B,628689.0,930299.0,1231909.0,1835129.0
1594,11039280,57286312,Las Condes,-33.41468,-70.58492,1,1,1.0,28821.0,5000.0,27,57,87,87,6,97.0,33821.0,1D+1B,293210.0,437315.0,581420.0,869630.0
1595,11043495,25291920,Providencia,-33.43326,-70.60517,2,2,2.0,60322.0,23459.0,0,0,0,0,8,97.0,83781.0,2D+2B,626679.0,928289.0,1229899.0,1833119.0
1598,11081431,57103330,Santiago,-33.44645,-70.63271,1,1,1.0,23459.0,6702.0,0,0,12,287,2,100.0,30161.0,1D+1B,241292.0,358587.0,475882.0,710472.0
